Well,Content,Well Scan: Average (600),
B02,Sample X1,0.843,
B03,Sample X2,0.812,
B04,Sample X3,0.793,
B05,Sample X4,0.807,
B06,Sample X5,0.807,
B07,Sample X6,0.755,
B08,Sample X7,0.777,
B09,Sample X8,0.775,
B10,Sample X9,1.629,
B11,Sample X10,0.816,
C02,Sample X11,0.449,
C03,Sample X12,0.315,
C04,Sample X13,0.486,
C05,Sample X14,0.789,
C06,Sample X15,0.738,
C07,Sample X16,0.733,
C08,Sample X17,0.370,
C09,Sample X18,0.429,
C10,Sample X19,0.480,
C11,Sample X20,0.486,
D02,Sample X21,1.355,
D03,Sample X22,0.363,
D04,Sample X23,0.402,
D05,Sample X24,0.871,
D06,Sample X25,0.897,
D07,Sample X26,1.043,
D08,Sample X27,0.370,
D09,Sample X28,0.321,
D10,Sample X29,0.386,
D11,Sample X30,0.552,
E02,Sample X31,0.261,
E03,Sample X32,0.379,
E04,Sample X33,0.471,
E05,Sample X34,1.269,
E06,Sample X35,1.232,
E07,Sample X36,1.352,
E08,Sample X37,0.279,
E09,Sample X38,0.296,
E10,Sample X39,0.241,
E11,Sample X40,0.165,
F02,Sample X41,1.489,
F03,Sample X42,1.522,
F04,Sample X43,1.481,
F05,Sample X44,1.478,
F06,Sample X45,1.507,
F07,Sample X46,1.563,
F08,Sample X47,1.580,
F09,Sample X48,1.532,
F10,Sample X49,1.573,
F11,Sample X50,1.565,
G02,Sample X51,1.565,
G03,Sample X52,1.569,
G04,Sample X53,1.589,
G05,Sample X54,1.564,
G06,Sample X55,1.584,
G07,Sample X56,1.585,
G08,Sample X57,1.646,
G09,Sample X58,1.620,
G10,Sample X59,1.633,
G11,Sample X60,1.585,
