Well,Content,Well Scan: Average (600),
B02,Sample X1,1.270,
B03,Sample X2,1.378,
B04,Sample X3,1.264,
B05,Sample X4,1.276,
B06,Sample X5,1.404,
B07,Sample X6,1.479,
B08,Sample X7,1.490,
B09,Sample X8,1.223,
B10,Sample X9,1.393,
B11,Sample X10,1.433,
C02,Sample X11,1.280,
C03,Sample X12,1.461,
C04,Sample X13,1.415,
C05,Sample X14,1.843,
C06,Sample X15,1.490,
C07,Sample X16,1.567,
C08,Sample X17,1.494,
C09,Sample X18,1.431,
C10,Sample X19,1.559,
C11,Sample X20,1.529,
D02,Sample X21,1.441,
D03,Sample X22,1.465,
D04,Sample X23,1.519,
D05,Sample X24,1.421,
D06,Sample X25,1.503,
D07,Sample X26,1.471,
D08,Sample X27,1.468,
D09,Sample X28,1.446,
D10,Sample X29,1.483,
D11,Sample X30,1.275,
E02,Sample X31,1.318,
E03,Sample X32,1.353,
E04,Sample X33,1.390,
E05,Sample X34,1.405,
E06,Sample X35,1.536,
E07,Sample X36,1.442,
E08,Sample X37,1.346,
E09,Sample X38,1.418,
E10,Sample X39,1.335,
E11,Sample X40,1.205,
F02,Sample X41,1.292,
F03,Sample X42,1.299,
F04,Sample X43,1.274,
F05,Sample X44,1.399,
F06,Sample X45,1.374,
F07,Sample X46,1.430,
F08,Sample X47,1.290,
F09,Sample X48,1.352,
F10,Sample X49,1.316,
F11,Sample X50,1.242,
G02,Sample X51,1.438,
G03,Sample X52,1.180,
G04,Sample X53,1.218,
G05,Sample X54,1.153,
G06,Sample X55,1.131,
G07,Sample X56,1.331,
G08,Sample X57,1.232,
G09,Sample X58,1.291,
G10,Sample X59,1.400,
G11,Sample X60,1.213,
