Well,Content,Well Scan: Average (600),
B02,Sample X1,0.998,
B03,Sample X2,1.048,
B04,Sample X3,1.110,
B05,Sample X4,1.072,
B06,Sample X5,0.532,
B07,Sample X6,1.155,
B08,Sample X7,0.884,
B09,Sample X8,1.090,
B10,Sample X9,1.023,
B11,Sample X10,1.228,
C02,Sample X11,1.122,
C03,Sample X12,1.446,
C04,Sample X13,1.033,
C05,Sample X14,1.219,
C06,Sample X15,1.291,
C07,Sample X16,1.160,
C08,Sample X17,1.184,
C09,Sample X18,0.940,
C10,Sample X19,0.959,
C11,Sample X20,0.929,
D02,Sample X21,1.144,
D03,Sample X22,1.158,
D04,Sample X23,1.190,
D05,Sample X24,1.436,
D06,Sample X25,1.437,
D07,Sample X26,1.448,
D08,Sample X27,1.401,
D09,Sample X28,1.258,
D10,Sample X29,1.386,
D11,Sample X30,0.908,
E02,Sample X31,1.643,
E03,Sample X32,1.518,
E04,Sample X33,1.581,
E05,Sample X34,1.694,
E06,Sample X35,1.602,
E07,Sample X36,1.514,
E08,Sample X37,1.617,
E09,Sample X38,1.538,
E10,Sample X39,1.689,
E11,Sample X40,1.195,
F02,Sample X41,1.729,
F03,Sample X42,1.739,
F04,Sample X43,1.821,
F05,Sample X44,1.846,
F06,Sample X45,1.856,
F07,Sample X46,1.824,
F08,Sample X47,1.896,
F09,Sample X48,1.474,
F10,Sample X49,1.146,
F11,Sample X50,1.758,
G02,Sample X51,1.831,
G03,Sample X52,1.887,
G04,Sample X53,1.959,
G05,Sample X54,1.844,
G06,Sample X55,1.963,
G07,Sample X56,1.731,
G08,Sample X57,1.776,
G09,Sample X58,1.932,
G10,Sample X59,1.864,
G11,Sample X60,1.613,
