Well,Content,Well Scan: Average (600),
B02,Sample X1,0.573,
B03,Sample X2,0.643,
B04,Sample X3,0.584,
B05,Sample X4,0.683,
B06,Sample X5,0.634,
B07,Sample X6,0.703,
B08,Sample X7,0.495,
B09,Sample X8,0.632,
B10,Sample X9,0.710,
B11,Sample X10,0.671,
C02,Sample X11,0.638,
C03,Sample X12,0.635,
C04,Sample X13,0.618,
C05,Sample X14,0.785,
C06,Sample X15,0.657,
C07,Sample X16,0.678,
C08,Sample X17,0.531,
C09,Sample X18,0.487,
C10,Sample X19,0.600,
C11,Sample X20,0.605,
D02,Sample X21,0.577,
D03,Sample X22,0.572,
D04,Sample X23,0.610,
D05,Sample X24,0.828,
D06,Sample X25,0.988,
D07,Sample X26,0.898,
D08,Sample X27,0.801,
D09,Sample X28,0.730,
D10,Sample X29,0.749,
D11,Sample X30,0.842,
E02,Sample X31,1.044,
E03,Sample X32,1.045,
E04,Sample X33,1.105,
E05,Sample X34,1.250,
E06,Sample X35,1.189,
E07,Sample X36,1.201,
E08,Sample X37,1.045,
E09,Sample X38,1.101,
E10,Sample X39,1.244,
E11,Sample X40,1.049,
F02,Sample X41,1.240,
F03,Sample X42,1.288,
F04,Sample X43,1.333,
F05,Sample X44,1.458,
F06,Sample X45,1.494,
F07,Sample X46,1.453,
F08,Sample X47,1.470,
F09,Sample X48,1.413,
F10,Sample X49,1.465,
F11,Sample X50,1.513,
G02,Sample X51,1.395,
G03,Sample X52,1.487,
G04,Sample X53,1.651,
G05,Sample X54,1.534,
G06,Sample X55,1.509,
G07,Sample X56,1.449,
G08,Sample X57,1.469,
G09,Sample X58,1.518,
G10,Sample X59,1.711,
G11,Sample X60,0.826,
