Well,Content,Well Scan: Average (600),
B02,Sample X1,0.754,
B03,Sample X2,0.962,
B04,Sample X3,0.934,
B05,Sample X4,0.959,
B06,Sample X5,0.559,
B07,Sample X6,0.592,
B08,Sample X7,1.153,
B09,Sample X8,1.025,
B10,Sample X9,1.050,
B11,Sample X10,1.094,
C02,Sample X11,1.094,
C03,Sample X12,1.056,
C04,Sample X13,1.115,
C05,Sample X14,1.241,
C06,Sample X15,1.080,
C07,Sample X16,1.113,
C08,Sample X17,1.133,
C09,Sample X18,1.229,
C10,Sample X19,1.188,
C11,Sample X20,1.201,
D02,Sample X21,1.114,
D03,Sample X22,1.094,
D04,Sample X23,1.161,
D05,Sample X24,1.183,
D06,Sample X25,1.222,
D07,Sample X26,1.130,
D08,Sample X27,1.199,
D09,Sample X28,1.229,
D10,Sample X29,1.250,
D11,Sample X30,1.279,
E02,Sample X31,1.193,
E03,Sample X32,1.237,
E04,Sample X33,1.195,
E05,Sample X34,1.221,
E06,Sample X35,1.187,
E07,Sample X36,1.082,
E08,Sample X37,1.172,
E09,Sample X38,1.193,
E10,Sample X39,1.212,
E11,Sample X40,1.161,
F02,Sample X41,1.221,
F03,Sample X42,1.246,
F04,Sample X43,1.161,
F05,Sample X44,1.164,
F06,Sample X45,1.156,
F07,Sample X46,1.086,
F08,Sample X47,1.142,
F09,Sample X48,1.084,
F10,Sample X49,1.124,
F11,Sample X50,1.144,
G02,Sample X51,0.505,
G03,Sample X52,0.815,
G04,Sample X53,0.312,
G05,Sample X54,0.438,
G06,Sample X55,0.265,
G07,Sample X56,1.751,
G08,Sample X57,0.876,
G09,Sample X58,1.043,
G10,Sample X59,1.104,
G11,Sample X60,0.418,
