Well,Content,Well Scan: Average (600),
B02,Sample X1,1.091,
B03,Sample X2,0.500,
B04,Sample X3,1.128,
B05,Sample X4,0.263,
B06,Sample X5,1.108,
B07,Sample X6,1.179,
B08,Sample X7,0.726,
B09,Sample X8,0.805,
B10,Sample X9,1.169,
B11,Sample X10,1.167,
C02,Sample X11,0.426,
C03,Sample X12,1.170,
C04,Sample X13,0.095,
C05,Sample X14,1.608,
C06,Sample X15,1.565,
C07,Sample X16,1.572,
C08,Sample X17,1.002,
C09,Sample X18,0.881,
C10,Sample X19,0.701,
C11,Sample X20,0.228,
D02,Sample X21,0.110,
D03,Sample X22,1.172,
D04,Sample X23,0.114,
D05,Sample X24,1.561,
D06,Sample X25,1.624,
D07,Sample X26,1.627,
D08,Sample X27,1.079,
D09,Sample X28,1.281,
D10,Sample X29,0.122,
D11,Sample X30,1.072,
E02,Sample X31,1.327,
E03,Sample X32,0.130,
E04,Sample X33,0.121,
E05,Sample X34,0.847,
E06,Sample X35,1.661,
E07,Sample X36,1.676,
E08,Sample X37,1.490,
E09,Sample X38,0.879,
E10,Sample X39,1.352,
E11,Sample X40,0.101,
F02,Sample X41,1.223,
F03,Sample X42,0.124,
F04,Sample X43,1.342,
F05,Sample X44,0.591,
F06,Sample X45,0.500,
F07,Sample X46,1.002,
F08,Sample X47,0.244,
F09,Sample X48,0.135,
F10,Sample X49,1.079,
F11,Sample X50,1.446,
G02,Sample X51,0.406,
G03,Sample X52,0.608,
G04,Sample X53,0.490,
G05,Sample X54,0.245,
G06,Sample X55,1.487,
G07,Sample X56,0.480,
G08,Sample X57,1.018,
G09,Sample X58,1.688,
G10,Sample X59,0.132,
G11,Sample X60,0.587,
