Well,Content,Well Scan: Average (600),
B02,Sample X1,0.606,
B03,Sample X2,0.470,
B04,Sample X3,0.820,
B05,Sample X4,0.620,
B06,Sample X5,0.467,
B07,Sample X6,0.436,
B08,Sample X7,0.291,
B09,Sample X8,0.300,
B10,Sample X9,0.272,
B11,Sample X10,0.312,
C02,Sample X11,0.372,
C03,Sample X12,0.300,
C04,Sample X13,0.511,
C05,Sample X14,0.246,
C06,Sample X15,0.459,
C07,Sample X16,0.517,
C08,Sample X17,0.388,
C09,Sample X18,0.430,
C10,Sample X19,0.419,
C11,Sample X20,0.431,
D02,Sample X21,0.382,
D03,Sample X22,0.467,
D04,Sample X23,0.322,
D05,Sample X24,0.458,
D06,Sample X25,0.491,
D07,Sample X26,0.393,
D08,Sample X27,0.513,
D09,Sample X28,0.314,
D10,Sample X29,0.321,
D11,Sample X30,0.517,
E02,Sample X31,0.317,
E03,Sample X32,0.300,
E04,Sample X33,0.357,
E05,Sample X34,0.372,
E06,Sample X35,0.238,
E07,Sample X36,0.393,
E08,Sample X37,0.395,
E09,Sample X38,0.215,
E10,Sample X39,0.453,
E11,Sample X40,0.335,
F02,Sample X41,0.438,
F03,Sample X42,0.409,
F04,Sample X43,0.494,
F05,Sample X44,0.161,
F06,Sample X45,0.128,
F07,Sample X46,0.186,
F08,Sample X47,0.233,
F09,Sample X48,0.296,
F10,Sample X49,0.255,
F11,Sample X50,0.169,
G02,Sample X51,0.556,
G03,Sample X52,0.400,
G04,Sample X53,0.518,
G05,Sample X54,0.293,
G06,Sample X55,0.402,
G07,Sample X56,0.441,
G08,Sample X57,0.397,
G09,Sample X58,0.631,
G10,Sample X59,0.665,
G11,Sample X60,0.666,
