Well,Content,Well Scan: Average (600),
B02,Sample X1,0.669,
B03,Sample X2,0.948,
B04,Sample X3,0.890,
B05,Sample X4,0.710,
B06,Sample X5,0.503,
B07,Sample X6,0.699,
B08,Sample X7,0.264,
B09,Sample X8,0.375,
B10,Sample X9,0.306,
B11,Sample X10,0.283,
C02,Sample X11,0.214,
C03,Sample X12,0.240,
C04,Sample X13,0.226,
C05,Sample X14,1.277,
C06,Sample X15,0.817,
C07,Sample X16,0.777,
C08,Sample X17,0.334,
C09,Sample X18,0.301,
C10,Sample X19,0.314,
C11,Sample X20,0.202,
D02,Sample X21,0.265,
D03,Sample X22,0.349,
D04,Sample X23,0.282,
D05,Sample X24,1.087,
D06,Sample X25,1.034,
D07,Sample X26,1.034,
D08,Sample X27,0.317,
D09,Sample X28,0.354,
D10,Sample X29,0.354,
D11,Sample X30,0.316,
E02,Sample X31,0.203,
E03,Sample X32,0.458,
E04,Sample X33,0.257,
E05,Sample X34,1.015,
E06,Sample X35,0.837,
E07,Sample X36,0.841,
E08,Sample X37,0.417,
E09,Sample X38,0.413,
E10,Sample X39,0.245,
E11,Sample X40,0.525,
F02,Sample X41,0.388,
F03,Sample X42,0.540,
F04,Sample X43,0.427,
F05,Sample X44,0.593,
F06,Sample X45,0.633,
F07,Sample X46,0.721,
F08,Sample X47,0.611,
F09,Sample X48,0.650,
F10,Sample X49,0.512,
F11,Sample X50,0.539,
G02,Sample X51,0.631,
G03,Sample X52,0.370,
G04,Sample X53,0.264,
G05,Sample X54,0.785,
G06,Sample X55,0.718,
G07,Sample X56,0.489,
G08,Sample X57,0.595,
G09,Sample X58,0.483,
G10,Sample X59,0.635,
G11,Sample X60,0.749,
