Well,Content,Well Scan: Average (600),
B02,Sample X1,1.105,
B03,Sample X2,0.957,
B04,Sample X3,1.000,
B05,Sample X4,1.080,
B06,Sample X5,0.485,
B07,Sample X6,1.000,
B08,Sample X7,0.501,
B09,Sample X8,0.338,
B10,Sample X9,0.356,
B11,Sample X10,0.309,
C02,Sample X11,0.467,
C03,Sample X12,0.482,
C04,Sample X13,0.442,
C05,Sample X14,0.565,
C06,Sample X15,0.413,
C07,Sample X16,0.454,
C08,Sample X17,0.539,
C09,Sample X18,0.523,
C10,Sample X19,0.529,
C11,Sample X20,0.539,
D02,Sample X21,0.535,
D03,Sample X22,0.496,
D04,Sample X23,0.505,
D05,Sample X24,0.332,
D06,Sample X25,0.308,
D07,Sample X26,0.275,
D08,Sample X27,0.398,
D09,Sample X28,0.399,
D10,Sample X29,0.432,
D11,Sample X30,0.441,
E02,Sample X31,0.373,
E03,Sample X32,0.400,
E04,Sample X33,0.407,
E05,Sample X34,0.258,
E06,Sample X35,0.247,
E07,Sample X36,0.259,
E08,Sample X37,0.315,
E09,Sample X38,0.324,
E10,Sample X39,0.319,
E11,Sample X40,0.318,
F02,Sample X41,0.414,
F03,Sample X42,0.431,
F04,Sample X43,0.417,
F05,Sample X44,0.282,
F06,Sample X45,0.315,
F07,Sample X46,0.304,
F08,Sample X47,0.389,
F09,Sample X48,0.348,
F10,Sample X49,0.396,
F11,Sample X50,0.361,
G02,Sample X51,0.902,
G03,Sample X52,0.807,
G04,Sample X53,1.113,
G05,Sample X54,1.637,
G06,Sample X55,1.310,
G07,Sample X56,1.501,
G08,Sample X57,0.785,
G09,Sample X58,1.462,
G10,Sample X59,1.468,
G11,Sample X60,0.709,
