Well,Content,Well Scan: Average (600),
B02,Sample X1,0.256,
B03,Sample X2,0.317,
B04,Sample X3,0.332,
B05,Sample X4,0.372,
B06,Sample X5,0.364,
B07,Sample X6,0.375,
B08,Sample X7,0.366,
B09,Sample X8,0.345,
B10,Sample X9,0.310,
B11,Sample X10,0.229,
C02,Sample X11,0.288,
C03,Sample X12,0.369,
C04,Sample X13,0.399,
C05,Sample X14,0.419,
C06,Sample X15,0.409,
C07,Sample X16,0.404,
C08,Sample X17,0.393,
C09,Sample X18,0.383,
C10,Sample X19,0.347,
C11,Sample X20,0.287,
D02,Sample X21,0.300,
D03,Sample X22,0.347,
D04,Sample X23,0.389,
D05,Sample X24,0.416,
D06,Sample X25,0.419,
D07,Sample X26,0.422,
D08,Sample X27,0.402,
D09,Sample X28,0.385,
D10,Sample X29,0.367,
D11,Sample X30,0.190,
E02,Sample X31,0.248,
E03,Sample X32,0.349,
E04,Sample X33,0.360,
E05,Sample X34,0.416,
E06,Sample X35,0.440,
E07,Sample X36,0.438,
E08,Sample X37,0.417,
E09,Sample X38,0.390,
E10,Sample X39,0.369,
E11,Sample X40,0.301,
F02,Sample X41,0.189,
F03,Sample X42,0.297,
F04,Sample X43,0.372,
F05,Sample X44,0.399,
F06,Sample X45,0.417,
F07,Sample X46,0.394,
F08,Sample X47,0.382,
F09,Sample X48,0.368,
F10,Sample X49,0.334,
F11,Sample X50,0.269,
G02,Sample X51,0.179,
G03,Sample X52,0.205,
G04,Sample X53,0.291,
G05,Sample X54,0.328,
G06,Sample X55,0.357,
G07,Sample X56,0.351,
G08,Sample X57,0.325,
G09,Sample X58,0.318,
G10,Sample X59,0.280,
G11,Sample X60,0.227,
