Well,Content,Well Scan: Average (600),
B02,Sample X1,0.799,
B03,Sample X2,0.710,
B04,Sample X3,0.763,
B05,Sample X4,0.661,
B06,Sample X5,1.130,
B07,Sample X6,0.757,
B08,Sample X7,0.793,
B09,Sample X8,0.780,
B10,Sample X9,0.868,
B11,Sample X10,0.863,
C02,Sample X11,1.517,
C03,Sample X12,0.994,
C04,Sample X13,1.069,
C05,Sample X14,0.867,
C06,Sample X15,0.855,
C07,Sample X16,0.871,
C08,Sample X17,0.866,
C09,Sample X18,0.905,
C10,Sample X19,0.950,
C11,Sample X20,0.961,
D02,Sample X21,1.144,
D03,Sample X22,0.970,
D04,Sample X23,1.042,
D05,Sample X24,1.013,
D06,Sample X25,1.010,
D07,Sample X26,1.020,
D08,Sample X27,1.130,
D09,Sample X28,1.134,
D10,Sample X29,1.145,
D11,Sample X30,1.167,
E02,Sample X31,1.172,
E03,Sample X32,1.260,
E04,Sample X33,1.187,
E05,Sample X34,1.197,
E06,Sample X35,1.182,
E07,Sample X36,1.169,
E08,Sample X37,1.218,
E09,Sample X38,1.174,
E10,Sample X39,1.170,
E11,Sample X40,1.199,
F02,Sample X41,1.295,
F03,Sample X42,1.335,
F04,Sample X43,1.281,
F05,Sample X44,1.306,
F06,Sample X45,1.273,
F07,Sample X46,1.295,
F08,Sample X47,1.338,
F09,Sample X48,1.342,
F10,Sample X49,1.328,
F11,Sample X50,1.278,
G02,Sample X51,1.436,
G03,Sample X52,1.351,
G04,Sample X53,1.268,
G05,Sample X54,1.346,
G06,Sample X55,1.304,
G07,Sample X56,1.342,
G08,Sample X57,1.383,
G09,Sample X58,1.359,
G10,Sample X59,1.400,
G11,Sample X60,1.387,
