Well,Content,Well Scan: Average (600),
B02,Sample X1,1.381,
B03,Sample X2,1.398,
B04,Sample X3,1.419,
B05,Sample X4,1.407,
B06,Sample X5,1.489,
B07,Sample X6,1.507,
B08,Sample X7,0.768,
B09,Sample X8,1.459,
B10,Sample X9,1.383,
B11,Sample X10,1.490,
C02,Sample X11,0.108,
C03,Sample X12,0.627,
C04,Sample X13,0.096,
C05,Sample X14,1.185,
C06,Sample X15,0.122,
C07,Sample X16,1.182,
C08,Sample X17,0.502,
C09,Sample X18,0.146,
C10,Sample X19,0.104,
C11,Sample X20,0.133,
D02,Sample X21,0.315,
D03,Sample X22,1.492,
D04,Sample X23,1.071,
D05,Sample X24,1.133,
D06,Sample X25,1.238,
D07,Sample X26,1.478,
D08,Sample X27,0.849,
D09,Sample X28,0.199,
D10,Sample X29,0.825,
D11,Sample X30,1.414,
E02,Sample X31,1.268,
E03,Sample X32,0.942,
E04,Sample X33,0.751,
E05,Sample X34,0.405,
E06,Sample X35,0.391,
E07,Sample X36,0.351,
E08,Sample X37,0.367,
E09,Sample X38,0.960,
E10,Sample X39,1.290,
E11,Sample X40,1.367,
F02,Sample X41,1.813,
F03,Sample X42,1.844,
F04,Sample X43,1.751,
F05,Sample X44,1.789,
F06,Sample X45,1.793,
F07,Sample X46,1.656,
F08,Sample X47,1.764,
F09,Sample X48,1.634,
F10,Sample X49,1.534,
F11,Sample X50,1.713,
G02,Sample X51,1.814,
G03,Sample X52,1.784,
G04,Sample X53,1.815,
G05,Sample X54,1.803,
G06,Sample X55,1.802,
G07,Sample X56,1.779,
G08,Sample X57,1.509,
G09,Sample X58,1.754,
G10,Sample X59,1.749,
G11,Sample X60,1.672,
