Well,Content,Well Scan: Average (600),
B02,Sample X1,0.815,
B03,Sample X2,0.477,
B04,Sample X3,1.211,
B05,Sample X4,1.165,
B06,Sample X5,1.385,
B07,Sample X6,1.327,
B08,Sample X7,0.746,
B09,Sample X8,0.660,
B10,Sample X9,0.684,
B11,Sample X10,0.850,
C02,Sample X11,0.096,
C03,Sample X12,0.097,
C04,Sample X13,0.098,
C05,Sample X14,0.096,
C06,Sample X15,1.104,
C07,Sample X16,0.097,
C08,Sample X17,0.098,
C09,Sample X18,0.102,
C10,Sample X19,0.098,
C11,Sample X20,0.097,
D02,Sample X21,0.436,
D03,Sample X22,0.463,
D04,Sample X23,0.106,
D05,Sample X24,1.436,
D06,Sample X25,1.372,
D07,Sample X26,1.351,
D08,Sample X27,0.097,
D09,Sample X28,0.098,
D10,Sample X29,0.102,
D11,Sample X30,1.378,
E02,Sample X31,0.542,
E03,Sample X32,0.824,
E04,Sample X33,1.302,
E05,Sample X34,1.213,
E06,Sample X35,1.289,
E07,Sample X36,1.254,
E08,Sample X37,0.124,
E09,Sample X38,0.679,
E10,Sample X39,0.111,
E11,Sample X40,0.791,
F02,Sample X41,1.324,
F03,Sample X42,0.746,
F04,Sample X43,0.985,
F05,Sample X44,1.518,
F06,Sample X45,1.538,
F07,Sample X46,1.472,
F08,Sample X47,0.850,
F09,Sample X48,0.389,
F10,Sample X49,2.004,
F11,Sample X50,1.554,
G02,Sample X51,1.155,
G03,Sample X52,0.877,
G04,Sample X53,0.704,
G05,Sample X54,1.702,
G06,Sample X55,1.480,
G07,Sample X56,1.549,
G08,Sample X57,1.045,
G09,Sample X58,0.520,
G10,Sample X59,1.215,
G11,Sample X60,0.430,
