Well,Content,Well Scan: Average (600),
B02,Sample X1,0.555,
B03,Sample X2,0.595,
B04,Sample X3,0.610,
B05,Sample X4,0.547,
B06,Sample X5,0.569,
B07,Sample X6,0.588,
B08,Sample X7,0.395,
B09,Sample X8,0.446,
B10,Sample X9,0.432,
B11,Sample X10,0.449,
C02,Sample X11,0.306,
C03,Sample X12,0.385,
C04,Sample X13,0.432,
C05,Sample X14,0.461,
C06,Sample X15,0.445,
C07,Sample X16,0.443,
C08,Sample X17,0.443,
C09,Sample X18,0.428,
C10,Sample X19,0.395,
C11,Sample X20,0.662,
D02,Sample X21,0.331,
D03,Sample X22,0.387,
D04,Sample X23,0.374,
D05,Sample X24,0.440,
D06,Sample X25,0.424,
D07,Sample X26,0.401,
D08,Sample X27,0.484,
D09,Sample X28,0.451,
D10,Sample X29,0.663,
D11,Sample X30,0.365,
E02,Sample X31,0.320,
E03,Sample X32,0.545,
E04,Sample X33,0.366,
E05,Sample X34,0.411,
E06,Sample X35,0.391,
E07,Sample X36,0.439,
E08,Sample X37,0.358,
E09,Sample X38,0.443,
E10,Sample X39,0.414,
E11,Sample X40,0.400,
F02,Sample X41,0.441,
F03,Sample X42,0.471,
F04,Sample X43,0.316,
F05,Sample X44,0.518,
F06,Sample X45,0.571,
F07,Sample X46,0.558,
F08,Sample X47,0.426,
F09,Sample X48,0.732,
F10,Sample X49,0.610,
F11,Sample X50,0.786,
G02,Sample X51,0.594,
G03,Sample X52,0.611,
G04,Sample X53,0.653,
G05,Sample X54,0.510,
G06,Sample X55,0.669,
G07,Sample X56,0.910,
G08,Sample X57,0.715,
G09,Sample X58,0.799,
G10,Sample X59,0.843,
G11,Sample X60,0.916,
