Well,Content,Well Scan: Average (600),
B02,Sample X1,0.662,
B03,Sample X2,1.427,
B04,Sample X3,1.320,
B05,Sample X4,1.365,
B06,Sample X5,0.929,
B07,Sample X6,1.466,
B08,Sample X7,0.881,
B09,Sample X8,1.412,
B10,Sample X9,1.458,
B11,Sample X10,1.521,
C02,Sample X11,0.715,
C03,Sample X12,1.041,
C04,Sample X13,0.945,
C05,Sample X14,0.640,
C06,Sample X15,0.453,
C07,Sample X16,0.836,
C08,Sample X17,0.536,
C09,Sample X18,0.459,
C10,Sample X19,0.406,
C11,Sample X20,0.602,
D02,Sample X21,1.319,
D03,Sample X22,0.703,
D04,Sample X23,0.717,
D05,Sample X24,0.773,
D06,Sample X25,0.860,
D07,Sample X26,0.757,
D08,Sample X27,0.740,
D09,Sample X28,0.743,
D10,Sample X29,0.812,
D11,Sample X30,0.737,
E02,Sample X31,0.560,
E03,Sample X32,0.610,
E04,Sample X33,0.412,
E05,Sample X34,0.590,
E06,Sample X35,0.517,
E07,Sample X36,0.582,
E08,Sample X37,0.491,
E09,Sample X38,0.494,
E10,Sample X39,0.583,
E11,Sample X40,0.522,
F02,Sample X41,1.436,
F03,Sample X42,1.137,
F04,Sample X43,1.198,
F05,Sample X44,1.576,
F06,Sample X45,1.681,
F07,Sample X46,1.603,
F08,Sample X47,1.603,
F09,Sample X48,1.493,
F10,Sample X49,1.254,
F11,Sample X50,1.649,
G02,Sample X51,0.758,
G03,Sample X52,1.697,
G04,Sample X53,1.565,
G05,Sample X54,1.493,
G06,Sample X55,1.572,
G07,Sample X56,1.596,
G08,Sample X57,1.572,
G09,Sample X58,1.444,
G10,Sample X59,1.618,
G11,Sample X60,0.942,
