Well,Content,Well Scan: Average (600),
B02,Sample X1,0.394,
B03,Sample X2,0.525,
B04,Sample X3,0.410,
B05,Sample X4,0.519,
B06,Sample X5,0.459,
B07,Sample X6,0.488,
B08,Sample X7,0.437,
B09,Sample X8,0.524,
B10,Sample X9,0.478,
B11,Sample X10,0.437,
C02,Sample X11,0.451,
C03,Sample X12,0.430,
C04,Sample X13,0.454,
C05,Sample X14,0.588,
C06,Sample X15,0.587,
C07,Sample X16,0.618,
C08,Sample X17,0.676,
C09,Sample X18,0.683,
C10,Sample X19,0.621,
C11,Sample X20,0.595,
D02,Sample X21,0.419,
D03,Sample X22,0.432,
D04,Sample X23,0.447,
D05,Sample X24,0.655,
D06,Sample X25,0.667,
D07,Sample X26,0.650,
D08,Sample X27,0.617,
D09,Sample X28,0.564,
D10,Sample X29,0.500,
D11,Sample X30,0.529,
E02,Sample X31,0.379,
E03,Sample X32,0.404,
E04,Sample X33,0.429,
E05,Sample X34,0.506,
E06,Sample X35,0.521,
E07,Sample X36,0.476,
E08,Sample X37,0.462,
E09,Sample X38,0.433,
E10,Sample X39,0.400,
E11,Sample X40,0.407,
F02,Sample X41,0.372,
F03,Sample X42,0.490,
F04,Sample X43,0.463,
F05,Sample X44,0.529,
F06,Sample X45,0.435,
F07,Sample X46,0.440,
F08,Sample X47,0.394,
F09,Sample X48,0.407,
F10,Sample X49,0.404,
F11,Sample X50,0.426,
G02,Sample X51,0.722,
G03,Sample X52,0.462,
G04,Sample X53,0.399,
G05,Sample X54,0.388,
G06,Sample X55,0.881,
G07,Sample X56,0.425,
G08,Sample X57,0.412,
G09,Sample X58,0.808,
G10,Sample X59,0.371,
G11,Sample X60,0.329,
