Well,Content,Well Scan: Average (600),
B02,Sample X1,0.559,
B03,Sample X2,0.602,
B04,Sample X3,0.717,
B05,Sample X4,0.693,
B06,Sample X5,0.424,
B07,Sample X6,0.630,
B08,Sample X7,0.288,
B09,Sample X8,0.363,
B10,Sample X9,0.413,
B11,Sample X10,0.315,
C02,Sample X11,0.226,
C03,Sample X12,0.232,
C04,Sample X13,0.113,
C05,Sample X14,0.562,
C06,Sample X15,0.599,
C07,Sample X16,0.403,
C08,Sample X17,0.170,
C09,Sample X18,0.134,
C10,Sample X19,0.295,
C11,Sample X20,0.235,
D02,Sample X21,0.323,
D03,Sample X22,0.337,
D04,Sample X23,0.215,
D05,Sample X24,0.612,
D06,Sample X25,0.516,
D07,Sample X26,0.616,
D08,Sample X27,0.253,
D09,Sample X28,0.259,
D10,Sample X29,0.309,
D11,Sample X30,0.447,
E02,Sample X31,0.222,
E03,Sample X32,0.435,
E04,Sample X33,0.212,
E05,Sample X34,0.571,
E06,Sample X35,0.691,
E07,Sample X36,0.661,
E08,Sample X37,0.357,
E09,Sample X38,0.407,
E10,Sample X39,0.158,
E11,Sample X40,0.757,
F02,Sample X41,0.263,
F03,Sample X42,0.455,
F04,Sample X43,0.318,
F05,Sample X44,0.716,
F06,Sample X45,0.463,
F07,Sample X46,0.640,
F08,Sample X47,0.577,
F09,Sample X48,0.362,
F10,Sample X49,0.351,
F11,Sample X50,0.362,
G02,Sample X51,0.718,
G03,Sample X52,0.421,
G04,Sample X53,0.319,
G05,Sample X54,0.651,
G06,Sample X55,0.723,
G07,Sample X56,0.552,
G08,Sample X57,0.285,
G09,Sample X58,0.381,
G10,Sample X59,0.416,
G11,Sample X60,0.411,
