Well,Content,Well Scan: Average (600),
B02,Sample X1,1.136,
B03,Sample X2,1.502,
B04,Sample X3,1.289,
B05,Sample X4,0.911,
B06,Sample X5,1.313,
B07,Sample X6,0.760,
B08,Sample X7,0.098,
B09,Sample X8,0.098,
B10,Sample X9,0.099,
B11,Sample X10,0.101,
C02,Sample X11,0.102,
C03,Sample X12,0.098,
C04,Sample X13,1.522,
C05,Sample X14,0.105,
C06,Sample X15,0.125,
C07,Sample X16,0.113,
C08,Sample X17,0.100,
C09,Sample X18,0.103,
C10,Sample X19,0.101,
C11,Sample X20,0.101,
D02,Sample X21,0.102,
D03,Sample X22,0.097,
D04,Sample X23,0.104,
D05,Sample X24,0.099,
D06,Sample X25,0.134,
D07,Sample X26,0.106,
D08,Sample X27,1.345,
D09,Sample X28,0.099,
D10,Sample X29,0.102,
D11,Sample X30,0.099,
E02,Sample X31,0.100,
E03,Sample X32,0.099,
E04,Sample X33,0.099,
E05,Sample X34,1.931,
E06,Sample X35,0.721,
E07,Sample X36,0.303,
E08,Sample X37,1.421,
E09,Sample X38,0.101,
E10,Sample X39,0.097,
E11,Sample X40,0.100,
F02,Sample X41,0.099,
F03,Sample X42,0.103,
F04,Sample X43,0.100,
F05,Sample X44,1.812,
F06,Sample X45,1.653,
F07,Sample X46,0.651,
F08,Sample X47,0.216,
F09,Sample X48,0.196,
F10,Sample X49,0.100,
F11,Sample X50,0.173,
G02,Sample X51,1.414,
G03,Sample X52,1.196,
G04,Sample X53,0.139,
G05,Sample X54,1.940,
G06,Sample X55,1.953,
G07,Sample X56,1.936,
G08,Sample X57,0.122,
G09,Sample X58,1.362,
G10,Sample X59,0.618,
G11,Sample X60,0.109,
