Well,Content,Well Scan: Average (600),
B02,Sample X1,1.015,
B03,Sample X2,0.509,
B04,Sample X3,1.119,
B05,Sample X4,0.298,
B06,Sample X5,1.349,
B07,Sample X6,1.066,
B08,Sample X7,0.774,
B09,Sample X8,0.809,
B10,Sample X9,1.153,
B11,Sample X10,1.191,
C02,Sample X11,0.563,
C03,Sample X12,1.128,
C04,Sample X13,0.095,
C05,Sample X14,1.592,
C06,Sample X15,1.589,
C07,Sample X16,1.523,
C08,Sample X17,0.618,
C09,Sample X18,0.923,
C10,Sample X19,0.848,
C11,Sample X20,0.470,
D02,Sample X21,0.108,
D03,Sample X22,1.173,
D04,Sample X23,0.127,
D05,Sample X24,1.701,
D06,Sample X25,1.706,
D07,Sample X26,1.665,
D08,Sample X27,1.050,
D09,Sample X28,1.280,
D10,Sample X29,0.144,
D11,Sample X30,1.140,
E02,Sample X31,1.408,
E03,Sample X32,0.183,
E04,Sample X33,0.119,
E05,Sample X34,0.876,
E06,Sample X35,1.632,
E07,Sample X36,1.700,
E08,Sample X37,1.695,
E09,Sample X38,0.955,
E10,Sample X39,1.406,
E11,Sample X40,0.099,
F02,Sample X41,1.260,
F03,Sample X42,0.159,
F04,Sample X43,1.416,
F05,Sample X44,0.545,
F06,Sample X45,0.616,
F07,Sample X46,0.975,
F08,Sample X47,0.309,
F09,Sample X48,0.234,
F10,Sample X49,1.042,
F11,Sample X50,1.602,
G02,Sample X51,0.507,
G03,Sample X52,0.625,
G04,Sample X53,0.460,
G05,Sample X54,0.279,
G06,Sample X55,1.504,
G07,Sample X56,0.602,
G08,Sample X57,1.000,
G09,Sample X58,1.688,
G10,Sample X59,0.134,
G11,Sample X60,0.560,
