Well,Content,Well Scan: Average (600),
B02,Sample X1,0.751,
B03,Sample X2,0.637,
B04,Sample X3,0.649,
B05,Sample X4,0.586,
B06,Sample X5,0.899,
B07,Sample X6,0.741,
B08,Sample X7,0.570,
B09,Sample X8,0.685,
B10,Sample X9,0.868,
B11,Sample X10,0.510,
C02,Sample X11,0.396,
C03,Sample X12,0.371,
C04,Sample X13,0.486,
C05,Sample X14,0.428,
C06,Sample X15,0.472,
C07,Sample X16,0.531,
C08,Sample X17,0.610,
C09,Sample X18,0.523,
C10,Sample X19,0.583,
C11,Sample X20,0.572,
D02,Sample X21,0.602,
D03,Sample X22,0.790,
D04,Sample X23,0.432,
D05,Sample X24,0.654,
D06,Sample X25,0.742,
D07,Sample X26,0.745,
D08,Sample X27,0.826,
D09,Sample X28,0.783,
D10,Sample X29,0.561,
D11,Sample X30,0.667,
E02,Sample X31,0.593,
E03,Sample X32,0.755,
E04,Sample X33,0.722,
E05,Sample X34,0.627,
E06,Sample X35,0.650,
E07,Sample X36,0.562,
E08,Sample X37,0.801,
E09,Sample X38,0.820,
E10,Sample X39,0.560,
E11,Sample X40,0.651,
F02,Sample X41,0.652,
F03,Sample X42,0.688,
F04,Sample X43,0.766,
F05,Sample X44,0.625,
F06,Sample X45,0.735,
F07,Sample X46,0.494,
F08,Sample X47,0.656,
F09,Sample X48,0.680,
F10,Sample X49,0.620,
F11,Sample X50,1.098,
G02,Sample X51,0.567,
G03,Sample X52,0.568,
G04,Sample X53,0.651,
G05,Sample X54,0.536,
G06,Sample X55,0.207,
G07,Sample X56,0.553,
G08,Sample X57,0.802,
G09,Sample X58,0.690,
G10,Sample X59,0.801,
G11,Sample X60,0.740,
