Well,Content,Well Scan: Average (600),
B02,Sample X1,0.950,
B03,Sample X2,0.970,
B04,Sample X3,0.956,
B05,Sample X4,1.005,
B06,Sample X5,0.565,
B07,Sample X6,0.570,
B08,Sample X7,1.207,
B09,Sample X8,1.004,
B10,Sample X9,1.080,
B11,Sample X10,1.103,
C02,Sample X11,1.239,
C03,Sample X12,1.193,
C04,Sample X13,1.189,
C05,Sample X14,1.320,
C06,Sample X15,1.224,
C07,Sample X16,1.136,
C08,Sample X17,1.254,
C09,Sample X18,1.262,
C10,Sample X19,1.237,
C11,Sample X20,1.350,
D02,Sample X21,1.171,
D03,Sample X22,1.186,
D04,Sample X23,1.196,
D05,Sample X24,1.284,
D06,Sample X25,1.226,
D07,Sample X26,1.473,
D08,Sample X27,1.259,
D09,Sample X28,1.261,
D10,Sample X29,1.231,
D11,Sample X30,1.269,
E02,Sample X31,1.238,
E03,Sample X32,1.274,
E04,Sample X33,1.230,
E05,Sample X34,1.234,
E06,Sample X35,1.294,
E07,Sample X36,1.150,
E08,Sample X37,1.193,
E09,Sample X38,1.197,
E10,Sample X39,1.213,
E11,Sample X40,1.162,
F02,Sample X41,1.216,
F03,Sample X42,1.262,
F04,Sample X43,1.111,
F05,Sample X44,1.181,
F06,Sample X45,1.151,
F07,Sample X46,1.102,
F08,Sample X47,1.185,
F09,Sample X48,1.081,
F10,Sample X49,1.123,
F11,Sample X50,1.186,
G02,Sample X51,0.589,
G03,Sample X52,0.581,
G04,Sample X53,0.355,
G05,Sample X54,0.471,
G06,Sample X55,0.280,
G07,Sample X56,1.750,
G08,Sample X57,0.829,
G09,Sample X58,1.112,
G10,Sample X59,1.098,
G11,Sample X60,0.498,
