Well,Content,Well Scan: Average (600),
B02,Sample X1,0.914,
B03,Sample X2,0.959,
B04,Sample X3,0.909,
B05,Sample X4,0.983,
B06,Sample X5,0.551,
B07,Sample X6,1.109,
B08,Sample X7,0.667,
B09,Sample X8,1.122,
B10,Sample X9,0.781,
B11,Sample X10,1.095,
C02,Sample X11,1.222,
C03,Sample X12,1.366,
C04,Sample X13,1.189,
C05,Sample X14,1.088,
C06,Sample X15,1.022,
C07,Sample X16,0.999,
C08,Sample X17,1.279,
C09,Sample X18,0.919,
C10,Sample X19,0.919,
C11,Sample X20,0.884,
D02,Sample X21,1.392,
D03,Sample X22,1.354,
D04,Sample X23,1.401,
D05,Sample X24,1.255,
D06,Sample X25,1.276,
D07,Sample X26,1.278,
D08,Sample X27,1.455,
D09,Sample X28,1.057,
D10,Sample X29,1.386,
D11,Sample X30,0.843,
E02,Sample X31,1.560,
E03,Sample X32,1.512,
E04,Sample X33,1.547,
E05,Sample X34,1.541,
E06,Sample X35,1.448,
E07,Sample X36,1.397,
E08,Sample X37,1.597,
E09,Sample X38,1.547,
E10,Sample X39,1.543,
E11,Sample X40,1.026,
F02,Sample X41,1.674,
F03,Sample X42,1.696,
F04,Sample X43,1.765,
F05,Sample X44,1.673,
F06,Sample X45,1.642,
F07,Sample X46,1.564,
F08,Sample X47,1.701,
F09,Sample X48,1.228,
F10,Sample X49,0.997,
F11,Sample X50,1.680,
G02,Sample X51,1.458,
G03,Sample X52,1.920,
G04,Sample X53,1.885,
G05,Sample X54,1.832,
G06,Sample X55,1.783,
G07,Sample X56,1.679,
G08,Sample X57,1.799,
G09,Sample X58,1.763,
G10,Sample X59,1.780,
G11,Sample X60,1.446,
