Well,Content,Well Scan: Average (600),
B02,Sample X1,0.552,
B03,Sample X2,0.607,
B04,Sample X3,0.614,
B05,Sample X4,0.583,
B06,Sample X5,0.675,
B07,Sample X6,0.779,
B08,Sample X7,0.557,
B09,Sample X8,0.552,
B10,Sample X9,0.518,
B11,Sample X10,0.551,
C02,Sample X11,0.318,
C03,Sample X12,0.537,
C04,Sample X13,0.579,
C05,Sample X14,0.639,
C06,Sample X15,0.599,
C07,Sample X16,0.528,
C08,Sample X17,0.618,
C09,Sample X18,0.551,
C10,Sample X19,0.566,
C11,Sample X20,0.638,
D02,Sample X21,0.332,
D03,Sample X22,0.536,
D04,Sample X23,0.432,
D05,Sample X24,0.416,
D06,Sample X25,0.405,
D07,Sample X26,0.387,
D08,Sample X27,0.529,
D09,Sample X28,0.382,
D10,Sample X29,0.673,
D11,Sample X30,0.378,
E02,Sample X31,0.303,
E03,Sample X32,0.564,
E04,Sample X33,0.347,
E05,Sample X34,0.379,
E06,Sample X35,0.346,
E07,Sample X36,0.448,
E08,Sample X37,0.343,
E09,Sample X38,0.474,
E10,Sample X39,0.419,
E11,Sample X40,0.411,
F02,Sample X41,0.570,
F03,Sample X42,0.610,
F04,Sample X43,0.296,
F05,Sample X44,0.621,
F06,Sample X45,0.624,
F07,Sample X46,0.729,
F08,Sample X47,0.482,
F09,Sample X48,0.743,
F10,Sample X49,0.648,
F11,Sample X50,0.846,
G02,Sample X51,0.762,
G03,Sample X52,0.710,
G04,Sample X53,0.776,
G05,Sample X54,0.590,
G06,Sample X55,0.843,
G07,Sample X56,0.894,
G08,Sample X57,0.815,
G09,Sample X58,0.855,
G10,Sample X59,0.920,
G11,Sample X60,0.961,
