Well,Content,Well Scan: Average (600),
B02,Sample X1,1.355,
B03,Sample X2,1.399,
B04,Sample X3,1.378,
B05,Sample X4,1.336,
B06,Sample X5,1.477,
B07,Sample X6,1.547,
B08,Sample X7,1.584,
B09,Sample X8,1.589,
B10,Sample X9,1.554,
B11,Sample X10,1.670,
C02,Sample X11,1.637,
C03,Sample X12,1.714,
C04,Sample X13,1.725,
C05,Sample X14,1.719,
C06,Sample X15,1.687,
C07,Sample X16,1.668,
C08,Sample X17,1.684,
C09,Sample X18,1.602,
C10,Sample X19,1.681,
C11,Sample X20,1.640,
D02,Sample X21,1.684,
D03,Sample X22,1.744,
D04,Sample X23,1.651,
D05,Sample X24,1.701,
D06,Sample X25,1.732,
D07,Sample X26,1.714,
D08,Sample X27,1.709,
D09,Sample X28,1.665,
D10,Sample X29,1.660,
D11,Sample X30,1.628,
E02,Sample X31,1.699,
E03,Sample X32,1.690,
E04,Sample X33,1.664,
E05,Sample X34,1.699,
E06,Sample X35,1.724,
E07,Sample X36,1.686,
E08,Sample X37,1.712,
E09,Sample X38,1.691,
E10,Sample X39,1.664,
E11,Sample X40,1.681,
F02,Sample X41,1.708,
F03,Sample X42,1.720,
F04,Sample X43,1.673,
F05,Sample X44,1.692,
F06,Sample X45,1.705,
F07,Sample X46,1.661,
F08,Sample X47,1.697,
F09,Sample X48,1.658,
F10,Sample X49,1.624,
F11,Sample X50,1.673,
G02,Sample X51,1.514,
G03,Sample X52,1.699,
G04,Sample X53,1.649,
G05,Sample X54,1.631,
G06,Sample X55,1.693,
G07,Sample X56,1.647,
G08,Sample X57,1.655,
G09,Sample X58,1.632,
G10,Sample X59,1.689,
G11,Sample X60,2.091,
