Well,Content,Well Scan: Average (600),
B02,Sample X1,0.884,
B03,Sample X2,1.084,
B04,Sample X3,1.045,
B05,Sample X4,1.073,
B06,Sample X5,1.056,
B07,Sample X6,1.084,
B08,Sample X7,1.153,
B09,Sample X8,1.119,
B10,Sample X9,1.164,
B11,Sample X10,1.191,
C02,Sample X11,1.090,
C03,Sample X12,1.099,
C04,Sample X13,1.112,
C05,Sample X14,1.359,
C06,Sample X15,1.071,
C07,Sample X16,1.046,
C08,Sample X17,1.173,
C09,Sample X18,1.258,
C10,Sample X19,1.158,
C11,Sample X20,1.128,
D02,Sample X21,1.079,
D03,Sample X22,1.104,
D04,Sample X23,1.159,
D05,Sample X24,1.050,
D06,Sample X25,1.026,
D07,Sample X26,1.023,
D08,Sample X27,1.202,
D09,Sample X28,1.052,
D10,Sample X29,1.102,
D11,Sample X30,1.015,
E02,Sample X31,1.063,
E03,Sample X32,1.035,
E04,Sample X33,1.049,
E05,Sample X34,1.095,
E06,Sample X35,1.023,
E07,Sample X36,1.060,
E08,Sample X37,1.107,
E09,Sample X38,1.110,
E10,Sample X39,1.135,
E11,Sample X40,1.182,
F02,Sample X41,1.087,
F03,Sample X42,1.065,
F04,Sample X43,0.958,
F05,Sample X44,1.184,
F06,Sample X45,1.045,
F07,Sample X46,1.157,
F08,Sample X47,1.067,
F09,Sample X48,1.053,
F10,Sample X49,1.103,
F11,Sample X50,0.997,
G02,Sample X51,1.288,
G03,Sample X52,0.923,
G04,Sample X53,1.037,
G05,Sample X54,0.959,
G06,Sample X55,1.115,
G07,Sample X56,1.052,
G08,Sample X57,1.143,
G09,Sample X58,1.068,
G10,Sample X59,1.066,
G11,Sample X60,0.951,
