Well,Content,Well Scan: Average (600),
B02,Sample X1,1.095,
B03,Sample X2,1.098,
B04,Sample X3,1.149,
B05,Sample X4,1.174,
B06,Sample X5,1.198,
B07,Sample X6,1.189,
B08,Sample X7,1.273,
B09,Sample X8,1.298,
B10,Sample X9,1.890,
B11,Sample X10,1.389,
C02,Sample X11,0.435,
C03,Sample X12,0.316,
C04,Sample X13,0.441,
C05,Sample X14,1.300,
C06,Sample X15,1.275,
C07,Sample X16,1.293,
C08,Sample X17,0.379,
C09,Sample X18,0.502,
C10,Sample X19,0.420,
C11,Sample X20,0.431,
D02,Sample X21,1.778,
D03,Sample X22,0.514,
D04,Sample X23,0.429,
D05,Sample X24,1.524,
D06,Sample X25,1.587,
D07,Sample X26,1.644,
D08,Sample X27,0.373,
D09,Sample X28,0.232,
D10,Sample X29,0.359,
D11,Sample X30,0.506,
E02,Sample X31,0.296,
E03,Sample X32,0.494,
E04,Sample X33,0.471,
E05,Sample X34,1.793,
E06,Sample X35,1.704,
E07,Sample X36,1.702,
E08,Sample X37,0.270,
E09,Sample X38,0.334,
E10,Sample X39,0.263,
E11,Sample X40,0.177,
F02,Sample X41,1.756,
F03,Sample X42,1.793,
F04,Sample X43,1.762,
F05,Sample X44,1.776,
F06,Sample X45,1.776,
F07,Sample X46,1.811,
F08,Sample X47,1.776,
F09,Sample X48,1.838,
F10,Sample X49,1.809,
F11,Sample X50,1.749,
G02,Sample X51,1.764,
G03,Sample X52,1.788,
G04,Sample X53,1.865,
G05,Sample X54,1.823,
G06,Sample X55,1.805,
G07,Sample X56,1.813,
G08,Sample X57,1.833,
G09,Sample X58,1.828,
G10,Sample X59,1.825,
G11,Sample X60,1.809,
