Well,Content,Well Scan: Average (600),
B02,Sample X1,1.315,
B03,Sample X2,1.387,
B04,Sample X3,1.380,
B05,Sample X4,1.377,
B06,Sample X5,1.463,
B07,Sample X6,1.491,
B08,Sample X7,0.625,
B09,Sample X8,1.467,
B10,Sample X9,1.406,
B11,Sample X10,1.494,
C02,Sample X11,0.747,
C03,Sample X12,1.249,
C04,Sample X13,0.096,
C05,Sample X14,1.159,
C06,Sample X15,0.170,
C07,Sample X16,1.208,
C08,Sample X17,1.067,
C09,Sample X18,0.753,
C10,Sample X19,0.133,
C11,Sample X20,0.236,
D02,Sample X21,0.371,
D03,Sample X22,1.564,
D04,Sample X23,1.166,
D05,Sample X24,1.054,
D06,Sample X25,1.327,
D07,Sample X26,1.330,
D08,Sample X27,1.121,
D09,Sample X28,0.343,
D10,Sample X29,1.581,
D11,Sample X30,1.315,
E02,Sample X31,1.371,
E03,Sample X32,1.116,
E04,Sample X33,1.440,
E05,Sample X34,0.518,
E06,Sample X35,0.429,
E07,Sample X36,0.405,
E08,Sample X37,0.983,
E09,Sample X38,1.123,
E10,Sample X39,1.412,
E11,Sample X40,1.289,
F02,Sample X41,1.808,
F03,Sample X42,1.757,
F04,Sample X43,1.736,
F05,Sample X44,1.761,
F06,Sample X45,1.766,
F07,Sample X46,1.629,
F08,Sample X47,1.809,
F09,Sample X48,1.754,
F10,Sample X49,1.512,
F11,Sample X50,1.765,
G02,Sample X51,1.815,
G03,Sample X52,1.857,
G04,Sample X53,1.771,
G05,Sample X54,1.797,
G06,Sample X55,1.826,
G07,Sample X56,1.798,
G08,Sample X57,1.460,
G09,Sample X58,1.794,
G10,Sample X59,1.712,
G11,Sample X60,1.678,
