Well,Content,Well Scan: Average (600),
B02,Sample X1,0.495,
B03,Sample X2,0.461,
B04,Sample X3,0.469,
B05,Sample X4,0.356,
B06,Sample X5,0.495,
B07,Sample X6,0.432,
B08,Sample X7,0.476,
B09,Sample X8,0.568,
B10,Sample X9,0.545,
B11,Sample X10,0.486,
C02,Sample X11,0.515,
C03,Sample X12,0.533,
C04,Sample X13,0.578,
C05,Sample X14,0.381,
C06,Sample X15,0.382,
C07,Sample X16,0.394,
C08,Sample X17,0.485,
C09,Sample X18,0.424,
C10,Sample X19,0.425,
C11,Sample X20,0.424,
D02,Sample X21,0.626,
D03,Sample X22,0.609,
D04,Sample X23,0.589,
D05,Sample X24,0.446,
D06,Sample X25,0.521,
D07,Sample X26,0.464,
D08,Sample X27,0.530,
D09,Sample X28,0.555,
D10,Sample X29,0.589,
D11,Sample X30,0.554,
E02,Sample X31,0.552,
E03,Sample X32,0.429,
E04,Sample X33,0.509,
E05,Sample X34,0.508,
E06,Sample X35,0.630,
E07,Sample X36,0.627,
E08,Sample X37,0.504,
E09,Sample X38,0.506,
E10,Sample X39,0.590,
E11,Sample X40,0.594,
F02,Sample X41,0.450,
F03,Sample X42,0.491,
F04,Sample X43,0.516,
F05,Sample X44,0.644,
F06,Sample X45,0.731,
F07,Sample X46,0.712,
F08,Sample X47,0.708,
F09,Sample X48,0.648,
F10,Sample X49,0.723,
F11,Sample X50,0.750,
G02,Sample X51,0.600,
G03,Sample X52,0.697,
G04,Sample X53,0.798,
G05,Sample X54,0.896,
G06,Sample X55,0.972,
G07,Sample X56,0.798,
G08,Sample X57,0.798,
G09,Sample X58,0.728,
G10,Sample X59,0.792,
G11,Sample X60,0.754,
