Well,Content,Well Scan: Average (600),
B02,Sample X1,0.457,
B03,Sample X2,0.661,
B04,Sample X3,0.652,
B05,Sample X4,0.300,
B06,Sample X5,0.381,
B07,Sample X6,0.337,
B08,Sample X7,0.519,
B09,Sample X8,0.526,
B10,Sample X9,0.544,
B11,Sample X10,0.540,
C02,Sample X11,0.384,
C03,Sample X12,0.389,
C04,Sample X13,0.378,
C05,Sample X14,0.372,
C06,Sample X15,0.392,
C07,Sample X16,0.480,
C08,Sample X17,0.492,
C09,Sample X18,0.447,
C10,Sample X19,0.458,
C11,Sample X20,0.470,
D02,Sample X21,0.515,
D03,Sample X22,0.504,
D04,Sample X23,0.448,
D05,Sample X24,0.485,
D06,Sample X25,0.425,
D07,Sample X26,0.477,
D08,Sample X27,0.489,
D09,Sample X28,0.478,
D10,Sample X29,0.488,
D11,Sample X30,0.558,
E02,Sample X31,0.498,
E03,Sample X32,0.479,
E04,Sample X33,0.434,
E05,Sample X34,0.494,
E06,Sample X35,0.473,
E07,Sample X36,0.469,
E08,Sample X37,0.496,
E09,Sample X38,0.511,
E10,Sample X39,0.566,
E11,Sample X40,0.534,
F02,Sample X41,0.306,
F03,Sample X42,0.301,
F04,Sample X43,0.307,
F05,Sample X44,0.243,
F06,Sample X45,0.225,
F07,Sample X46,0.261,
F08,Sample X47,0.293,
F09,Sample X48,0.299,
F10,Sample X49,0.330,
F11,Sample X50,0.360,
G02,Sample X51,0.253,
G03,Sample X52,0.208,
G04,Sample X53,0.196,
G05,Sample X54,0.884,
G06,Sample X55,0.863,
G07,Sample X56,0.786,
G08,Sample X57,0.345,
G09,Sample X58,0.413,
G10,Sample X59,0.372,
G11,Sample X60,0.510,
