Well,Content,Well Scan: Average (600),
B02,Sample X1,0.816,
B03,Sample X2,0.802,
B04,Sample X3,0.821,
B05,Sample X4,0.798,
B06,Sample X5,1.041,
B07,Sample X6,0.839,
B08,Sample X7,0.877,
B09,Sample X8,0.867,
B10,Sample X9,0.855,
B11,Sample X10,0.915,
C02,Sample X11,1.297,
C03,Sample X12,1.016,
C04,Sample X13,1.059,
C05,Sample X14,0.903,
C06,Sample X15,0.941,
C07,Sample X16,0.954,
C08,Sample X17,0.954,
C09,Sample X18,0.968,
C10,Sample X19,1.019,
C11,Sample X20,1.028,
D02,Sample X21,1.053,
D03,Sample X22,1.001,
D04,Sample X23,1.056,
D05,Sample X24,1.034,
D06,Sample X25,1.100,
D07,Sample X26,1.020,
D08,Sample X27,1.162,
D09,Sample X28,1.132,
D10,Sample X29,1.207,
D11,Sample X30,1.178,
E02,Sample X31,1.189,
E03,Sample X32,1.248,
E04,Sample X33,1.211,
E05,Sample X34,1.215,
E06,Sample X35,1.221,
E07,Sample X36,1.185,
E08,Sample X37,1.226,
E09,Sample X38,1.218,
E10,Sample X39,1.231,
E11,Sample X40,1.208,
F02,Sample X41,1.289,
F03,Sample X42,1.303,
F04,Sample X43,1.276,
F05,Sample X44,1.313,
F06,Sample X45,1.290,
F07,Sample X46,1.372,
F08,Sample X47,1.327,
F09,Sample X48,1.370,
F10,Sample X49,1.366,
F11,Sample X50,1.334,
G02,Sample X51,1.494,
G03,Sample X52,1.317,
G04,Sample X53,1.328,
G05,Sample X54,1.348,
G06,Sample X55,1.325,
G07,Sample X56,1.325,
G08,Sample X57,1.414,
G09,Sample X58,1.369,
G10,Sample X59,1.400,
G11,Sample X60,1.380,
