Well,Content,Well Scan: Average (600),
B02,Sample X1,0.667,
B03,Sample X2,0.725,
B04,Sample X3,0.701,
B05,Sample X4,0.680,
B06,Sample X5,0.671,
B07,Sample X6,0.757,
B08,Sample X7,0.649,
B09,Sample X8,0.674,
B10,Sample X9,0.634,
B11,Sample X10,0.597,
C02,Sample X11,0.582,
C03,Sample X12,0.652,
C04,Sample X13,0.671,
C05,Sample X14,1.201,
C06,Sample X15,0.658,
C07,Sample X16,0.937,
C08,Sample X17,0.696,
C09,Sample X18,0.693,
C10,Sample X19,0.702,
C11,Sample X20,0.618,
D02,Sample X21,0.649,
D03,Sample X22,0.662,
D04,Sample X23,0.679,
D05,Sample X24,0.629,
D06,Sample X25,0.643,
D07,Sample X26,0.660,
D08,Sample X27,0.645,
D09,Sample X28,0.630,
D10,Sample X29,0.637,
D11,Sample X30,0.568,
E02,Sample X31,0.584,
E03,Sample X32,0.574,
E04,Sample X33,0.686,
E05,Sample X34,0.603,
E06,Sample X35,0.615,
E07,Sample X36,0.685,
E08,Sample X37,0.604,
E09,Sample X38,0.635,
E10,Sample X39,0.630,
E11,Sample X40,0.618,
F02,Sample X41,0.578,
F03,Sample X42,0.617,
F04,Sample X43,0.594,
F05,Sample X44,0.574,
F06,Sample X45,0.570,
F07,Sample X46,0.591,
F08,Sample X47,0.573,
F09,Sample X48,0.537,
F10,Sample X49,0.515,
F11,Sample X50,0.553,
G02,Sample X51,0.522,
G03,Sample X52,0.539,
G04,Sample X53,0.495,
G05,Sample X54,0.532,
G06,Sample X55,0.522,
G07,Sample X56,0.515,
G08,Sample X57,0.485,
G09,Sample X58,0.542,
G10,Sample X59,0.554,
G11,Sample X60,0.505,
