Well,Content,Well Scan: Average (600),
B02,Sample X1,0.583,
B03,Sample X2,1.455,
B04,Sample X3,1.391,
B05,Sample X4,1.586,
B06,Sample X5,0.712,
B07,Sample X6,1.449,
B08,Sample X7,0.990,
B09,Sample X8,1.493,
B10,Sample X9,1.713,
B11,Sample X10,1.679,
C02,Sample X11,1.102,
C03,Sample X12,1.061,
C04,Sample X13,1.012,
C05,Sample X14,0.732,
C06,Sample X15,0.584,
C07,Sample X16,1.139,
C08,Sample X17,0.671,
C09,Sample X18,0.578,
C10,Sample X19,0.530,
C11,Sample X20,0.883,
D02,Sample X21,1.125,
D03,Sample X22,0.855,
D04,Sample X23,0.900,
D05,Sample X24,0.985,
D06,Sample X25,1.050,
D07,Sample X26,0.967,
D08,Sample X27,0.908,
D09,Sample X28,0.847,
D10,Sample X29,0.793,
D11,Sample X30,0.921,
E02,Sample X31,0.461,
E03,Sample X32,0.636,
E04,Sample X33,0.499,
E05,Sample X34,0.534,
E06,Sample X35,0.535,
E07,Sample X36,0.391,
E08,Sample X37,0.518,
E09,Sample X38,0.445,
E10,Sample X39,0.560,
E11,Sample X40,0.678,
F02,Sample X41,1.139,
F03,Sample X42,1.594,
F04,Sample X43,1.753,
F05,Sample X44,1.717,
F06,Sample X45,1.765,
F07,Sample X46,1.628,
F08,Sample X47,1.609,
F09,Sample X48,1.535,
F10,Sample X49,1.787,
F11,Sample X50,1.729,
G02,Sample X51,0.765,
G03,Sample X52,1.842,
G04,Sample X53,1.597,
G05,Sample X54,1.706,
G06,Sample X55,1.729,
G07,Sample X56,1.742,
G08,Sample X57,1.642,
G09,Sample X58,1.667,
G10,Sample X59,1.689,
G11,Sample X60,0.732,
