Well,Content,Well Scan: Average (600),
B02,Sample X1,1.123,
B03,Sample X2,1.049,
B04,Sample X3,1.027,
B05,Sample X4,1.194,
B06,Sample X5,0.588,
B07,Sample X6,1.275,
B08,Sample X7,0.581,
B09,Sample X8,0.401,
B10,Sample X9,0.393,
B11,Sample X10,0.302,
C02,Sample X11,0.599,
C03,Sample X12,0.678,
C04,Sample X13,0.634,
C05,Sample X14,0.679,
C06,Sample X15,0.533,
C07,Sample X16,0.607,
C08,Sample X17,0.684,
C09,Sample X18,0.700,
C10,Sample X19,0.700,
C11,Sample X20,0.665,
D02,Sample X21,0.567,
D03,Sample X22,0.601,
D04,Sample X23,0.622,
D05,Sample X24,0.373,
D06,Sample X25,0.411,
D07,Sample X26,0.382,
D08,Sample X27,0.511,
D09,Sample X28,0.517,
D10,Sample X29,0.532,
D11,Sample X30,0.513,
E02,Sample X31,0.393,
E03,Sample X32,0.447,
E04,Sample X33,0.466,
E05,Sample X34,0.304,
E06,Sample X35,0.325,
E07,Sample X36,0.342,
E08,Sample X37,0.385,
E09,Sample X38,0.377,
E10,Sample X39,0.394,
E11,Sample X40,0.360,
F02,Sample X41,0.362,
F03,Sample X42,0.403,
F04,Sample X43,0.487,
F05,Sample X44,0.380,
F06,Sample X45,0.378,
F07,Sample X46,0.374,
F08,Sample X47,0.460,
F09,Sample X48,0.394,
F10,Sample X49,0.507,
F11,Sample X50,0.382,
G02,Sample X51,0.838,
G03,Sample X52,0.792,
G04,Sample X53,1.067,
G05,Sample X54,1.614,
G06,Sample X55,1.345,
G07,Sample X56,1.479,
G08,Sample X57,0.760,
G09,Sample X58,1.455,
G10,Sample X59,1.466,
G11,Sample X60,0.672,
