Well,Content,Well Scan: Average (600),
B02,Sample X1,0.385,
B03,Sample X2,0.794,
B04,Sample X3,0.525,
B05,Sample X4,0.960,
B06,Sample X5,0.456,
B07,Sample X6,0.517,
B08,Sample X7,0.397,
B09,Sample X8,1.793,
B10,Sample X9,0.129,
B11,Sample X10,0.399,
C02,Sample X11,0.183,
C03,Sample X12,0.103,
C04,Sample X13,0.104,
C05,Sample X14,0.104,
C06,Sample X15,1.418,
C07,Sample X16,0.103,
C08,Sample X17,0.116,
C09,Sample X18,0.116,
C10,Sample X19,0.120,
C11,Sample X20,1.245,
D02,Sample X21,1.744,
D03,Sample X22,0.103,
D04,Sample X23,0.104,
D05,Sample X24,0.106,
D06,Sample X25,0.106,
D07,Sample X26,0.104,
D08,Sample X27,0.114,
D09,Sample X28,0.110,
D10,Sample X29,0.110,
D11,Sample X30,0.108,
E02,Sample X31,1.561,
E03,Sample X32,0.109,
E04,Sample X33,0.108,
E05,Sample X34,0.131,
E06,Sample X35,0.962,
E07,Sample X36,0.105,
E08,Sample X37,0.165,
E09,Sample X38,0.137,
E10,Sample X39,0.158,
E11,Sample X40,0.134,
F02,Sample X41,0.127,
F03,Sample X42,1.467,
F04,Sample X43,1.426,
F05,Sample X44,0.109,
F06,Sample X45,0.115,
F07,Sample X46,1.195,
F08,Sample X47,0.306,
F09,Sample X48,0.266,
F10,Sample X49,0.361,
F11,Sample X50,1.229,
G02,Sample X51,0.333,
G03,Sample X52,0.452,
G04,Sample X53,0.347,
G05,Sample X54,0.496,
G06,Sample X55,0.322,
G07,Sample X56,0.569,
G08,Sample X57,0.244,
G09,Sample X58,0.582,
G10,Sample X59,0.507,
G11,Sample X60,0.603,
