Well,Content,Well Scan: Average (600),
B02,Sample X1,0.518,
B03,Sample X2,0.543,
B04,Sample X3,0.820,
B05,Sample X4,0.696,
B06,Sample X5,0.530,
B07,Sample X6,0.514,
B08,Sample X7,0.336,
B09,Sample X8,0.212,
B10,Sample X9,0.503,
B11,Sample X10,0.276,
C02,Sample X11,0.410,
C03,Sample X12,0.295,
C04,Sample X13,0.539,
C05,Sample X14,0.284,
C06,Sample X15,0.390,
C07,Sample X16,0.621,
C08,Sample X17,0.509,
C09,Sample X18,0.515,
C10,Sample X19,0.591,
C11,Sample X20,0.501,
D02,Sample X21,0.517,
D03,Sample X22,0.683,
D04,Sample X23,0.667,
D05,Sample X24,0.514,
D06,Sample X25,0.754,
D07,Sample X26,0.531,
D08,Sample X27,0.743,
D09,Sample X28,0.525,
D10,Sample X29,0.521,
D11,Sample X30,0.741,
E02,Sample X31,0.363,
E03,Sample X32,0.275,
E04,Sample X33,0.637,
E05,Sample X34,0.671,
E06,Sample X35,0.572,
E07,Sample X36,0.512,
E08,Sample X37,0.496,
E09,Sample X38,0.466,
E10,Sample X39,0.516,
E11,Sample X40,0.464,
F02,Sample X41,0.599,
F03,Sample X42,0.479,
F04,Sample X43,0.457,
F05,Sample X44,0.149,
F06,Sample X45,0.199,
F07,Sample X46,0.289,
F08,Sample X47,0.190,
F09,Sample X48,0.194,
F10,Sample X49,0.279,
F11,Sample X50,0.142,
G02,Sample X51,0.457,
G03,Sample X52,0.656,
G04,Sample X53,1.010,
G05,Sample X54,0.381,
G06,Sample X55,0.703,
G07,Sample X56,0.506,
G08,Sample X57,0.561,
G09,Sample X58,0.742,
G10,Sample X59,0.861,
G11,Sample X60,0.803,
