Well,Content,Well Scan: Average (600),
B02,Sample X1,0.583,
B03,Sample X2,0.626,
B04,Sample X3,0.630,
B05,Sample X4,0.656,
B06,Sample X5,0.707,
B07,Sample X6,0.688,
B08,Sample X7,0.741,
B09,Sample X8,0.723,
B10,Sample X9,0.780,
B11,Sample X10,0.784,
C02,Sample X11,0.468,
C03,Sample X12,0.661,
C04,Sample X13,0.722,
C05,Sample X14,0.998,
C06,Sample X15,0.880,
C07,Sample X16,0.814,
C08,Sample X17,0.706,
C09,Sample X18,0.665,
C10,Sample X19,0.698,
C11,Sample X20,0.699,
D02,Sample X21,0.997,
D03,Sample X22,0.805,
D04,Sample X23,0.865,
D05,Sample X24,0.912,
D06,Sample X25,0.940,
D07,Sample X26,0.932,
D08,Sample X27,0.954,
D09,Sample X28,0.931,
D10,Sample X29,0.901,
D11,Sample X30,0.875,
E02,Sample X31,1.181,
E03,Sample X32,1.313,
E04,Sample X33,1.183,
E05,Sample X34,1.179,
E06,Sample X35,1.164,
E07,Sample X36,1.130,
E08,Sample X37,1.115,
E09,Sample X38,1.085,
E10,Sample X39,1.013,
E11,Sample X40,1.154,
F02,Sample X41,1.257,
F03,Sample X42,0.273,
F04,Sample X43,1.184,
F05,Sample X44,1.304,
F06,Sample X45,1.329,
F07,Sample X46,1.219,
F08,Sample X47,1.208,
F09,Sample X48,1.296,
F10,Sample X49,1.376,
F11,Sample X50,1.364,
G02,Sample X51,1.369,
G03,Sample X52,0.430,
G04,Sample X53,1.015,
G05,Sample X54,0.437,
G06,Sample X55,1.369,
G07,Sample X56,1.415,
G08,Sample X57,1.391,
G09,Sample X58,1.329,
G10,Sample X59,1.418,
G11,Sample X60,1.434,
