Well,Content,Well Scan: Average (600),
B02,Sample X1,0.815,
B03,Sample X2,0.473,
B04,Sample X3,1.035,
B05,Sample X4,1.064,
B06,Sample X5,1.173,
B07,Sample X6,1.150,
B08,Sample X7,0.930,
B09,Sample X8,0.615,
B10,Sample X9,0.628,
B11,Sample X10,0.762,
C02,Sample X11,0.107,
C03,Sample X12,0.097,
C04,Sample X13,0.097,
C05,Sample X14,0.095,
C06,Sample X15,1.194,
C07,Sample X16,0.096,
C08,Sample X17,0.098,
C09,Sample X18,0.951,
C10,Sample X19,0.102,
C11,Sample X20,0.118,
D02,Sample X21,0.507,
D03,Sample X22,0.867,
D04,Sample X23,0.106,
D05,Sample X24,1.399,
D06,Sample X25,1.053,
D07,Sample X26,1.415,
D08,Sample X27,0.097,
D09,Sample X28,0.098,
D10,Sample X29,0.300,
D11,Sample X30,1.399,
E02,Sample X31,0.634,
E03,Sample X32,1.099,
E04,Sample X33,1.340,
E05,Sample X34,1.288,
E06,Sample X35,1.300,
E07,Sample X36,1.311,
E08,Sample X37,0.134,
E09,Sample X38,0.817,
E10,Sample X39,0.111,
E11,Sample X40,1.106,
F02,Sample X41,0.963,
F03,Sample X42,0.755,
F04,Sample X43,1.016,
F05,Sample X44,1.421,
F06,Sample X45,1.360,
F07,Sample X46,1.380,
F08,Sample X47,1.106,
F09,Sample X48,0.459,
F10,Sample X49,1.755,
F11,Sample X50,1.610,
G02,Sample X51,1.056,
G03,Sample X52,0.938,
G04,Sample X53,0.715,
G05,Sample X54,1.557,
G06,Sample X55,1.442,
G07,Sample X56,1.454,
G08,Sample X57,0.880,
G09,Sample X58,0.659,
G10,Sample X59,1.175,
G11,Sample X60,0.541,
